date,total_confirmed,confirmed,total_recover,recover,total_active,active,total_death,death
2020-03-01,2,2,0,0,2,2,0,0
2020-03-04,4,2,0,0,4,2,0,0
2020-03-07,19,15,0,0,19,15,0,0
2020-03-10,34,15,2,2,31,12,1,1
2020-03-13,117,83,8,6,104,73,5,4
2020-03-16,227,110,11,3,197,93,19,14
2020-03-19,450,223,20,9,392,195,38,19
2020-03-22,685,235,30,10,600,208,55,17
2020-03-25,1046,361,46,16,913,313,87,32
2020-03-28,1414,368,75,29,1217,304,122,35
2020-03-31,1790,376,112,37,1508,291,170,48
2020-04-03,2273,483,164,52,1911,403,198,28
2020-04-06,2956,683,222,58,2494,583,240,42
2020-04-09,3842,886,286,64,3229,735,327,87
2020-04-12,4839,997,426,140,3954,725,459,132
2020-04-15,5923,1084,607,181,4796,842,520,61
2020-04-18,6760,837,747,140,5423,627,590,70
2020-04-21,7775,1015,960,213,6168,745,647,57
2020-04-24,8882,1107,1107,147,7032,864,743,96
2020-04-27,9771,889,1391,284,7596,564,784,41
2020-04-30,10843,1072,1665,274,8347,751,831,47
2020-05-03,12071,1228,2197,532,9002,655,872,41
2020-05-06,13112,1041,2494,297,9675,673,943,71
2020-05-09,14265,1153,2881,387,10393,718,991,48
2020-05-12,16006,1741,3518,637,11445,1052,1043,52
2020-05-15,17514,1508,4129,611,12237,792,1148,105
2020-05-18,19189,1675,4575,446,13372,1135,1242,94
2020-05-21,21745,2556,5249,674,15145,1773,1351,109
2020-05-24,23165,1420,5877,628,15870,725,1418,67
2020-05-27,25216,2051,6492,615,17204,1334,1520,102
2020-05-30,26940,1724,7637,1145,17662,458,1641,121
2020-06-02,28818,1878,8892,1255,18205,543,1721,80
2020-06-05,31186,2368,10498,1606,18837,632,1851,130
2020-06-08,34316,3130,12129,1631,20228,1391,1959,108
2020-06-11,37420,3104,13776,1647,21553,1325,2091,132
2020-06-14,40400,2980,15703,1927,22466,913,2231,140
2020-06-17,43803,3403,17349,1646,24081,1615,2373,142
2020-06-20,46845,3042,18735,1386,25610,1529,2500,127
2020-06-23,50187,3342,20449,1714,27118,1508,2620,120
2020-06-26,54010,3823,22936,2487,28320,1202,2754,134
2020-06-29,57770,3760,25595,2659,29241,921,2934,180
2020-07-02,62142,4372,28219,2624,30834,1593,3089,155
2020-07-05,66226,4084,30785,2566,32132,1298,3309,220
2020-07-08,72347,6121,33529,2744,35349,3217,3469,160
2020-07-11,76981,4634,36689,3160,36636,1287,3656,187
2020-07-14,78572,1591,37636,947,37226,590,3710,54
