key_as_string,jumlah_meninggal,jumlah_dirawat,jumlah_sembuh,jumlah_positif,jumlah_meninggal_kum,jumlah_dirawat_kum,jumlah_sembuh_kum,jumlah_positif_kum
2020-03-02,0,2,0,2,0,2,0,2
2020-03-03,0,0,0,0,0,2,0,2
2020-03-04,0,0,0,0,0,2,0,2
2020-03-05,0,0,0,0,0,2,0,2
2020-03-06,0,2,0,2,0,4,0,4
2020-03-07,0,0,0,0,0,4,0,4
2020-03-08,0,2,0,2,0,6,0,6
2020-03-09,0,13,0,13,0,19,0,19
2020-03-10,0,6,2,8,0,25,2,27
2020-03-11,1,6,0,7,1,31,2,34
2020-03-12,0,0,0,0,1,31,2,34
2020-03-13,3,32,0,35,4,63,2,69
2020-03-14,1,20,6,27,5,83,8,96
2020-03-15,0,21,0,21,5,104,8,117
2020-03-16,0,17,0,17,5,121,8,134
2020-03-17,0,37,1,38,5,158,9,172
2020-03-18,14,39,2,55,19,197,11,227
2020-03-19,6,72,4,82,25,269,15,309
2020-03-20,7,51,2,60,32,320,17,369
2020-03-21,6,72,3,81,38,392,20,450
2020-03-22,10,45,9,64,48,437,29,514
2020-03-23,1,63,1,65,49,500,30,579
2020-03-24,6,100,0,106,55,600,30,685
2020-03-25,3,101,1,105,58,701,31,790
2020-03-26,20,79,4,103,78,780,35,893
2020-03-27,9,133,11,153,87,913,46,1046
2020-03-28,15,81,13,109,102,994,59,1155
2020-03-29,12,113,5,130,114,1107,64,1285
2020-03-30,8,110,11,129,122,1217,75,1414
2020-03-31,14,94,6,114,136,1311,81,1528
2020-04-01,21,106,22,149,157,1417,103,1677
2020-04-02,13,91,9,113,170,1508,112,1790
2020-04-03,11,163,22,196,181,1671,134,1986
2020-04-04,10,80,16,106,191,1751,150,2092
2020-04-05,7,160,14,181,198,1911,164,2273
2020-04-06,11,179,28,218,209,2090,192,2491
2020-04-07,12,223,12,247,221,2313,204,2738
2020-04-08,19,181,18,218,240,2494,222,2956
2020-04-09,40,267,30,337,280,2761,252,3293
2020-04-10,26,163,30,219,306,2924,282,3512
2020-04-11,21,305,4,330,327,3229,286,3842
2020-04-12,46,280,73,399,373,3509,359,4241
2020-04-13,26,269,21,316,399,3778,380,4557
2020-04-14,60,176,46,282,459,3954,426,4839
2020-04-15,10,267,20,297,469,4221,446,5136
2020-04-16,27,251,102,380,496,4472,548,5516
2020-04-17,24,324,59,407,520,4796,607,5923
2020-04-18,15,286,24,325,535,5082,631,6248
2020-04-19,47,225,55,327,582,5307,686,6575
2020-04-20,8,116,61,185,590,5423,747,6760
2020-04-21,26,254,95,375,616,5677,842,7135
2020-04-22,19,193,71,283,635,5870,913,7418
2020-04-23,12,298,47,357,647,6168,960,7775
2020-04-24,42,352,42,436,689,6520,1002,8211
2020-04-25,31,325,40,396,720,6845,1042,8607
2020-04-26,23,187,65,275,743,7032,1107,8882
2020-04-27,22,148,44,214,765,7180,1151,9096
2020-04-28,8,304,103,415,773,7484,1254,9511
2020-04-29,11,112,137,260,784,7596,1391,9771
2020-04-30,8,208,131,347,792,7804,1522,10118
2020-05-01,8,356,69,433,800,8160,1591,10551
2020-05-02,31,187,74,292,831,8347,1665,10843
2020-05-03,14,124,211,349,845,8471,1876,11192
2020-05-04,19,298,78,395,864,8769,1954,11587
2020-05-05,8,233,243,484,872,9002,2197,12071
2020-05-06,23,224,120,367,895,9226,2317,12438
2020-05-07,35,239,64,338,930,9465,2381,12776
2020-05-08,13,210,113,336,943,9675,2494,13112
2020-05-09,16,404,113,533,959,10079,2607,13645
2020-05-10,14,282,91,387,973,10361,2698,14032
2020-05-11,18,32,183,233,991,10393,2881,14265
2020-05-12,16,286,182,484,1007,10679,3063,14749
2020-05-13,21,444,224,689,1028,11123,3287,15438
2020-05-14,15,322,231,568,1043,11445,3518,16006
2020-05-15,33,172,285,490,1076,11617,3803,16496
2020-05-16,13,408,108,529,1089,12025,3911,17025
2020-05-17,59,212,218,489,1148,12237,4129,17514
2020-05-18,43,258,195,496,1191,12495,4324,18010
2020-05-19,30,313,143,486,1221,12808,4467,18496
2020-05-20,21,564,108,693,1242,13372,4575,19189
2020-05-21,36,674,263,973,1278,14046,4838,20162
2020-05-22,48,367,219,634,1326,14413,5057,20796
2020-05-23,25,732,192,949,1351,15145,5249,21745
2020-05-24,21,352,153,526,1372,15497,5402,22271
2020-05-25,19,220,240,479,1391,15717,5642,22750
2020-05-26,27,153,235,415,1418,15870,5877,23165
2020-05-27,55,451,180,686,1473,16321,6057,23851
2020-05-28,23,481,183,687,1496,16802,6240,24538
2020-05-29,24,402,252,678,1520,17204,6492,25216
2020-05-30,53,-19,523,557,1573,17185,7015,25773
2020-05-31,40,367,293,700,1613,17552,7308,26473
2020-06-01,28,110,329,467,1641,17662,7637,26940
2020-06-02,22,289,298,609,1663,17951,7935,27549
2020-06-03,35,178,471,684,1698,18129,8406,28233
2020-06-04,23,76,486,585,1721,18205,8892,28818
2020-06-05,49,103,551,703,1770,18308,9443,29521
2020-06-06,31,498,464,993,1801,18806,9907,30514
2020-06-07,50,31,591,672,1851,18837,10498,31186
